# k, std, sharpe
1.000000000000000000e+00,4.750143595142194641e+01,1.225617499146989947e-01
2.000000000000000000e+00,1.306043925094860825e+01,2.355338819392154281e-01
3.000000000000000000e+00,4.141683666143173959e+00,5.023253023017911767e-01
4.000000000000000000e+00,3.239885037029033743e+00,5.867675608627646033e-01
5.000000000000000000e+00,2.740733972110461991e+00,6.480187783896115272e-01
6.000000000000000000e+00,2.380551959675374363e+00,7.012719072801811837e-01
7.000000000000000000e+00,2.304518744099658623e+00,7.133145678957666380e-01
8.000000000000000000e+00,1.864995155483855749e+00,7.953827989916559815e-01
9.000000000000000000e+00,1.524952539190753242e+00,8.799085701798414760e-01
1.000000000000000000e+01,1.473815439367745395e+00,8.946464343751440174e-01
1.100000000000000000e+01,1.337361969897913561e+00,9.374832203325558222e-01
1.200000000000000000e+01,1.276687843548001355e+00,9.583344788197719621e-01
1.300000000000000000e+01,1.260581305571164989e+00,9.640951997173090593e-01
1.400000000000000000e+01,1.224844634825064560e+00,9.773110445011898850e-01
1.500000000000000000e+01,1.176493423495041490e+00,9.962503386476212475e-01
1.600000000000000000e+01,9.579817794271784370e-01,1.101696447958878000e+00
1.600000000000000000e+01,8.498267870365613375e-01,1.169663581673382247e+00
1.700000000000000000e+01,7.804530597751666576e-01,1.220517967521072222e+00
1.800000000000000000e+01,7.059997880246887680e-01,1.282495795261725968e+00
1.900000000000000000e+01,6.799956310938001236e-01,1.306060841858459609e+00
2.000000000000000000e+01,6.685932994275118890e-01,1.316783622013151023e+00
2.000000000000000000e+01,6.168656078078817995e-01,1.367928812279349371e+00
2.100000000000000000e+01,5.678257585288473130e-01,1.421788724672885973e+00
2.200000000000000000e+01,5.038179137006448816e-01,1.498493782983272959e+00
2.300000000000000000e+01,4.891649911284852714e-01,1.517129570553445994e+00
2.400000000000000000e+01,4.882716411251390443e-01,1.518301152088132433e+00
2.500000000000000000e+01,4.654364911166533614e-01,1.549512459722384827e+00
2.600000000000000000e+01,4.479978411635635038e-01,1.574918956639023815e+00
2.700000000000000000e+01,4.373777199283078732e-01,1.591042193841485597e+00
2.800000000000000000e+01,4.368019860495210294e-01,1.591933442938751497e+00
2.900000000000000000e+01,4.118221332853971850e-01,1.632446725037295154e+00
3.000000000000000000e+01,3.906676203057909413e-01,1.669526626778129685e+00
3.100000000000000000e+01,3.825022183709343992e-01,1.684553989601136115e+00
3.200000000000000000e+01,3.599939621747064167e-01,1.728538785152120560e+00
3.300000000000000000e+01,3.514397223047024399e-01,1.745912643305166823e+00
3.400000000000000000e+01,3.317894790614755451e-01,1.787480031786126800e+00
3.500000000000000000e+01,3.073144608767471864e-01,1.843975480637185527e+00
3.600000000000000000e+01,3.070989661519004654e-01,1.844497704958709461e+00
3.700000000000000000e+01,3.038806823522126055e-01,1.852324393458677276e+00
3.800000000000000000e+01,3.013842999911469644e-01,1.858466970698547494e+00
3.900000000000000000e+01,3.009990819109228943e-01,1.859417199569449064e+00
4.000000000000000000e+01,2.969625813823336125e-01,1.869476434998783798e+00
4.100000000000000000e+01,2.870544867334595129e-01,1.895059620427781644e+00
4.200000000000000000e+01,2.814689826221312696e-01,1.909839754752714613e+00
4.300000000000000000e+01,2.723005025813316493e-01,1.935053710943249516e+00
4.400000000000000000e+01,2.693994805459862807e-01,1.943274323970402007e+00
4.500000000000000000e+01,2.502782348027832726e-01,2.000473005414271643e+00
4.600000000000000000e+01,2.362282247597492224e-01,2.046178242630818378e+00
4.700000000000000000e+01,2.355112272259761996e-01,2.048582992803253511e+00
4.800000000000000000e+01,2.264348359769795815e-01,2.079856148804390514e+00
4.900000000000000000e+01,2.247909635221923830e-01,2.085670213112114091e+00
5.000000000000000000e+01,2.198345404219201882e-01,2.103431399191558526e+00
5.100000000000000000e+01,2.085909354342965205e-01,2.143553570518604623e+00
5.200000000000000000e+01,2.054121898910909183e-01,2.155340520243047564e+00
5.300000000000000000e+01,2.039451273810936049e-01,2.160787106090224619e+00
5.400000000000000000e+01,2.038590326965438182e-01,2.161107675056350264e+00
5.500000000000000000e+01,2.030461891112364248e-01,2.164132350944323768e+00
5.600000000000000000e+01,1.983782023536665995e-01,2.181765682228320458e+00
5.700000000000000000e+01,1.948554603190526813e-01,2.195263036274502699e+00
5.800000000000000000e+01,1.901911615073097472e-01,2.213518389694218325e+00
5.900000000000000000e+01,1.853886107912185166e-01,2.232353218854038701e+00
6.000000000000000000e+01,1.844682345544964297e-01,2.236020223689189734e+00
6.100000000000000000e+01,1.789453566468559298e-01,2.258493526128883211e+00
6.200000000000000000e+01,1.774446299756085588e-01,2.264728249271796834e+00
6.300000000000000000e+01,1.761814454112158312e-01,2.270023506343006314e+00
6.400000000000000000e+01,1.700241909677555063e-01,2.296293237817029542e+00
6.500000000000000000e+01,1.689544978473237757e-01,2.300962556857405694e+00
6.600000000000000000e+01,1.661486837358884250e-01,2.313653955786670657e+00
6.700000000000000000e+01,1.619175581786190254e-01,2.333251898269918190e+00
6.700000000000000000e+01,1.616779454773988600e-01,2.334381584849262836e+00
6.700000000000000000e+01,1.575860674241931769e-01,2.354041782133059701e+00
6.800000000000000000e+01,1.536518558704324244e-01,2.373506818838626131e+00
6.900000000000000000e+01,1.529184892222446024e-01,2.377229186497333391e+00
6.900000000000000000e+01,1.474897930708270466e-01,2.405425006963062717e+00
7.000000000000000000e+01,1.410422319139899572e-01,2.440292216970051609e+00
7.000000000000000000e+01,1.408305177070841574e-01,2.441463593631368223e+00
7.100000000000000000e+01,1.405102434592730432e-01,2.443246333458154673e+00
7.200000000000000000e+01,1.351981409257257960e-01,2.473427991858001995e+00
7.300000000000000000e+01,1.338113697521361722e-01,2.481460346311359810e+00
7.400000000000000000e+01,1.329049419389517206e-01,2.486772891925649542e+00
7.500000000000000000e+01,1.316494734770911057e-01,2.494192119409973873e+00
7.600000000000000000e+01,1.301265091162148724e-01,2.503254685251920630e+00
7.700000000000000000e+01,1.279064092200075664e-01,2.516669218039510270e+00
7.700000000000000000e+01,1.277812571527678076e-01,2.517465355928802495e+00
7.600000000000000000e+01,1.277812571527674745e-01,2.517465355928804716e+00
7.600000000000000000e+01,1.266727888734666962e-01,2.524711149814481637e+00
7.600000000000000000e+01,1.264332515539789703e-01,2.526137378608220185e+00
7.700000000000000000e+01,1.260379657916532448e-01,2.528358414722091663e+00
7.700000000000000000e+01,1.249480674537622044e-01,2.535589557110320413e+00
